User_ID,User_Role,Login_Time,Failed_Login_Attempts,Successful_Logins,IP_Geolocation,MFA_Used,Session_Duration,Concurrent_Sessions,Privilege_Level,Privilege_Escalation_Attempt,Access_Control_Violation,Suspicious_Command_Execution,Anomaly_Score,Network_Anomaly,Keystroke_Anomaly,File_Access_Anomaly,Time_Anomaly,Privilege_Escalation_Label
4174,Admin,6,2,5,India,1,116,4,2,0,0,0,0.4365860696420333,0,0,0,0,0
4507,Admin,0,3,5,USA,1,77,3,1,0,0,0,0.25866963210837357,0,0,0,0,0
1860,User,22,2,7,Russia,0,82,2,1,0,0,1,0.262930192719087,1,0,0,1,0
2294,User,11,2,4,Russia,1,26,3,1,0,0,0,0.33060375082667715,0,0,0,0,0
2130,User,10,3,9,USA,0,116,2,2,0,0,0,0.6173526345742152,0,0,0,0,0
2095,User,23,0,4,Russia,1,13,3,1,0,0,0,0.8383897306118269,0,0,0,1,0
4772,Guest,7,1,7,China,1,28,4,1,0,0,0,0.4995778784277908,0,0,0,0,0
4092,Guest,5,4,5,India,1,27,4,1,0,0,0,0.4034482303507956,1,0,0,0,0
2638,User,21,1,5,USA,0,65,3,1,0,0,0,0.7938477386910547,1,0,0,0,0
3169,Guest,1,4,6,China,1,41,1,2,0,0,0,0.2896679068010718,0,0,0,0,0
1466,User,18,4,8,USA,0,49,2,1,0,0,0,0.6890352690388326,0,0,0,0,0
2238,User,19,1,5,India,0,19,1,1,0,0,0,0.10580522072649512,0,0,0,0,0
1330,User,19,2,3,Russia,1,61,1,1,1,0,0,0.11323826624859101,1,0,0,0,1
2482,User,23,3,6,China,1,104,3,1,0,0,0,0.6440554767646864,1,0,0,1,0
3135,Guest,13,0,2,India,1,18,2,2,1,1,1,0.08275051427560143,0,0,0,0,0
4444,User,0,0,8,USA,0,56,2,1,0,0,1,0.15505116395039387,0,0,0,0,0
4171,User,9,0,8,Germany,1,88,4,2,0,0,0,0.6243690571603622,0,0,0,1,0
3919,User,15,1,3,China,1,107,3,1,0,0,0,0.4382036971013259,0,0,0,0,0
4735,User,3,1,8,USA,1,40,3,1,0,0,0,0.5612964528792719,0,0,0,0,0
1130,Guest,10,2,9,USA,0,31,3,1,0,0,0,0.9769429125888957,0,0,1,1,0
2685,User,15,0,5,India,1,21,4,3,0,0,1,0.6319610379319595,1,0,0,1,0
4380,User,19,2,5,USA,1,94,4,1,0,0,0,0.5908508042512756,0,0,0,0,0
1769,User,0,0,6,China,1,45,2,1,0,0,0,0.38013808139343097,1,0,0,0,0
3391,User,15,1,7,China,1,8,4,2,0,0,0,0.6308775949994132,1,0,1,0,0
2515,Admin,18,3,3,USA,1,7,3,3,0,0,0,0.012999525698740633,0,0,1,0,0
4485,User,20,3,5,India,1,23,3,1,0,0,0,0.5573202493426251,0,0,0,0,1
3853,User,21,3,1,China,0,45,1,1,0,0,0,0.06889736051058704,0,0,0,0,0
3433,User,8,3,5,Germany,1,44,4,1,0,0,0,0.22017224693838722,1,0,0,1,0
2215,Guest,8,4,4,Russia,0,62,3,1,0,0,0,0.5631210021865545,0,0,0,0,0
1955,Guest,8,0,1,India,1,43,3,1,0,0,1,0.66795054850932,0,0,0,0,0
3324,User,16,3,7,India,1,11,2,3,0,0,0,0.3847965404007134,1,0,0,0,0
2184,User,11,4,1,Russia,1,40,4,1,0,0,1,0.41897991598939344,0,0,0,0,0
1459,User,12,4,8,Russia,1,87,3,1,0,0,0,0.49802240581388413,0,1,1,0,0
4385,User,7,4,2,China,1,80,2,2,0,0,0,0.7590746077445648,1,0,1,0,0
1021,User,15,2,5,USA,0,24,1,1,0,0,0,0.017627771590167263,0,0,0,0,0
3300,User,17,2,6,USA,1,106,1,1,0,0,0,0.4470679987550289,1,0,1,0,0
1747,User,0,4,9,Germany,1,80,2,2,0,1,0,0.014273597906826474,0,0,1,0,0
3904,User,0,3,7,USA,1,33,4,3,0,1,0,0.31914186063278305,0,0,0,0,0
4632,User,11,0,6,Germany,1,98,3,1,0,0,0,0.5198486213132243,0,1,0,1,0
1474,Admin,5,1,5,Germany,1,88,4,1,0,0,0,0.07991928366748147,0,0,1,0,0
2082,User,8,2,6,India,1,72,2,1,0,0,0,0.4852135279763722,0,0,0,0,0
3558,User,22,3,4,India,0,70,3,1,0,0,0,0.9245739036255093,0,0,0,0,0
4753,Admin,4,3,1,China,1,51,3,1,1,1,0,0.6853423377040767,1,0,0,0,0
3047,User,15,1,9,Russia,1,98,3,1,0,0,0,0.7822526718768076,0,0,0,0,0
4547,Admin,17,1,5,Russia,1,27,4,2,0,0,1,0.5804142182165973,0,0,0,1,0
3747,User,16,3,8,Germany,1,10,4,2,0,1,0,0.8963589800472268,0,0,0,0,0
1975,User,17,1,7,Russia,1,22,2,2,0,0,0,0.14686929202536025,0,0,0,0,0
2806,Admin,0,3,8,Germany,1,57,1,1,0,0,0,0.4497860332046466,1,0,0,0,0
1189,Guest,18,1,1,Russia,1,26,2,1,0,0,0,0.5970332343824835,0,0,0,0,0
4005,Admin,21,1,9,China,1,105,3,2,0,0,0,0.8734753415763069,0,0,1,0,0
3734,User,7,3,1,India,1,72,2,2,0,0,0,0.3080102454621152,0,1,1,0,0
4005,User,2,4,3,India,1,111,1,2,0,1,0,0.00112797776576401,0,0,1,0,0
1562,User,4,3,8,Germany,0,79,2,3,0,1,0,0.9744141110431304,0,0,0,0,0
2899,User,22,0,1,Russia,1,109,1,2,0,0,1,0.02597730413286481,1,0,0,0,0
4638,User,7,1,1,USA,1,39,1,1,0,0,0,0.1523667272397342,0,0,0,0,0
2267,User,18,2,6,China,1,79,3,1,0,0,1,0.4220463294482849,0,0,0,1,0
3879,Guest,17,1,5,Russia,1,102,1,1,0,0,0,0.4963698129978603,1,0,0,0,0
2528,User,17,0,6,USA,0,13,4,1,0,0,0,0.834465957429185,0,0,0,0,0
4202,User,20,2,3,China,1,35,2,1,0,0,0,0.4478179499156639,0,0,0,0,0
4556,Guest,0,2,6,China,1,110,2,2,0,1,1,0.5474291366508607,1,0,0,0,0
4890,User,14,3,2,India,1,100,4,1,0,1,0,0.1999998708521198,1,0,0,0,0
1646,Guest,17,4,8,Germany,0,47,4,2,0,0,0,0.5691586991399007,0,0,0,0,1
3068,User,6,3,6,Russia,1,103,3,1,0,0,0,0.3483837429854506,0,1,0,0,1
3888,Guest,15,2,4,China,1,117,2,1,0,0,0,0.09873228127585232,0,0,0,0,0
3214,Admin,15,2,4,Russia,1,79,4,2,0,0,0,0.9464628913486434,1,0,1,0,0
2297,User,14,4,7,China,1,21,3,1,0,0,0,0.0816842854433878,0,0,0,1,0
3435,User,5,1,3,India,1,55,2,1,0,0,0,0.677878930381666,0,0,0,0,0
1600,User,8,4,3,Germany,1,104,2,1,0,0,0,0.9081931529278069,0,0,0,0,0
3363,User,6,3,6,USA,1,70,4,2,0,0,0,0.17920465422304377,0,0,0,1,0
3061,User,13,1,9,USA,0,28,1,2,0,0,0,0.23711766612902152,1,1,0,0,0
1241,Admin,10,3,1,India,0,114,1,3,0,1,0,0.42670676514241146,0,0,0,0,0
3041,User,20,4,5,China,1,19,4,2,0,0,0,0.2945099681860971,0,0,1,0,0
3824,User,15,1,1,India,1,32,1,2,0,0,0,0.7590331397372044,0,0,1,0,0
4417,User,5,4,1,Germany,1,7,2,1,0,0,0,0.3381533755065701,0,0,1,0,1
3612,Guest,21,0,3,USA,1,33,3,1,0,0,0,0.9858355404186013,0,0,0,0,0
3945,User,15,2,3,Russia,1,56,3,1,0,0,0,0.8587872325099697,0,0,0,0,0
